index,Dependent,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
19,0,0.221812771,43,0,0.527887839,3280,7,0,1,0,2
20,0,0.602794411,25,0,0.065868263,333,2,0,0,0,0
52,1,0.728150491,31,0,0.824725092,3000,10,0,2,0,1
67,0,0.750873672,55,2,0.316416365,7723,17,0,1,0,1
70,0,0.26948375,64,0,0.16106176,9455,13,0,1,0,3
84,0,0.054497069,56,0,0.492021814,4950,18,0,2,0,0
99,0,0.363199686,32,0,0.480523957,2900,4,0,1,0,0
102,0,0.019387779,34,0,0.32591852,4000,9,0,1,0,0
104,0,0.888008615,44,0,0.299246282,4908,8,0,0,0,1
124,0,0.444837661,58,0,0.366545247,14000,9,0,2,1,4
138,0,0.773519223,63,0,1.129227053,4139,12,0,1,0,1
150,0,0.072277109,34,0,0.025911708,2083,2,0,0,0,0
154,0,0,28,0,0.144616356,3166,7,0,0,0,0
156,0,0.012682366,60,0,0.412979783,6825,20,0,2,0,0
169,0,0.170103002,36,0,0.138461538,7734,8,0,0,0,0
192,0,1.095083357,53,5,0.536703799,3500,7,1,1,2,0
197,0,0.762158561,44,4,0.224465502,21000,5,0,1,0,3
204,0,0.137609462,49,0,0.429533892,7272,11,0,2,0,0
218,0,0.222696207,42,0,800,1,3,0,1,0,2
244,0,0.9999999,68,0,0.040493251,6000,0,0,0,0,0
245,0,0.053431552,41,0,0.20364404,9000,3,0,1,0,0
246,0,0.732660667,44,2,0.14041952,9200,15,0,1,0,0
252,1,1.048210842,58,7,0.151956584,3500,12,0,0,0,0
270,0,0.010402205,68,0,0.094140517,3600,6,0,1,0,0
279,0,0.006099797,28,0,0.139429485,3750,8,0,0,0,0
281,0,0.941072508,40,0,0.178184282,8855,9,0,1,0,0
294,0,2340,45,0,0.339332853,8333,7,0,2,0,2
330,0,0.727560021,38,0,0.712458746,2423,6,0,1,0,1
334,0,0,29,0,0.193935355,3000,7,0,0,0,0
335,1,0.03719769,47,0,0.03975841,25000,11,0,1,0,3
397,0,0.702493864,63,0,0.582162622,4697,8,0,2,0,1
400,0,0.9999999,42,1,0.113421853,6250,3,3,0,1,2
411,0,0.026885902,36,0,0.344879921,11200,6,0,2,0,2
412,0,0.265705207,56,0,0.259102536,31666,8,0,3,0,1
430,0,0.003851709,81,0,0.000822143,3648,1,0,0,0,1
455,0,0.069987933,33,0,0.114004783,3762,7,0,0,0,0
465,0,0.07807727,60,0,0.566105156,3917,14,0,1,0,2
495,0,0,75,0,0.205971968,1640,4,0,0,0,1
500,0,0.485558448,51,0,0.09963548,6583,5,0,0,0,0
526,0,0.062093267,42,0,0.230261579,8333,6,0,1,0,4
566,0,0,75,0,0.527431421,801,4,0,1,0,0
